asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
文蘭活動中心,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
銅門收容所,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
東昌活動中心,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
仁里活動中心,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
主農社區活動中心,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
中原國小文中三國中預定地,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
勝安活動中心,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
宜昌活動中心,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
勝安宮,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
聖地慈惠堂,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
中正體育館,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
明義國小,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮市公所,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
慶豐活動中心,W3-shelter,花蓮縣吉安鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
南美崙營區,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
中華國小,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮高工,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
慈濟大學人文社會學院,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
行政院國軍退除役官兵輔導委員會花,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
民孝社區活動中心,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
衛生福利部東區老人之家養護院區,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
水源收容所,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮縣立體育場,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
嘉新社區活動中心,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮港天宮,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
國福社區活動中心,W3-shelter,花蓮縣花蓮市,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
佳林社區活動中心,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
國軍805醫院,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
七星潭社區活動中心,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
基督教芥菜種會,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
北埔社區活動中心,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
樹林腳社區活動中心,W3-shelter,花蓮縣新城鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
景美活動中心,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
秀林國小收容所,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
富世活動中心,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
崇德國小收容所,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
和平活動中心,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
649286213,W7-bottleneck,Hualien City,N/A,1,N,N,N,Road bottleneck
649286214,W7-bottleneck,Hualien City,N/A,2,N,N,N,Road bottleneck
929963021,W7-bottleneck,Hualien City,N/A,4,N,N,N,Road bottleneck
1074772659,W7-bottleneck,Hualien City,N/A,5,N,N,N,Road bottleneck
1061487893,W7-bottleneck,Hualien City,N/A,3,N,N,N,Road bottleneck
Guangfu_Station,critical_infra,Guangfu Township,MED,N/A,N,N,N,光復火車站
Guangfu_Elementary,shelter,Guangfu Township,HIGH,N/A,N,N,N,光復國小
Mataian_Hwy9_Bridge,bridge,Guangfu Township,HIGH,N/A,N,N,N,台9線馬太鞍溪橋
